                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.97343,                  0.551,                 1.0243,                0.91638,                 0.7922,                0.88763,                0.56228,                 1.2948,                0.69799,                 1.2205,              0.0003368,              0.0003368,              0.0003368
                     87,                0.94993,                0.56873,                 1.0393,                0.91335,                0.78313,                0.88003,                0.55569,                  1.279,                0.70886,                 1.2288,               0.000317,               0.000317,               0.000317
                     88,                0.91927,                0.53359,                 1.0091,                0.89314,                0.80561,                0.88117,                0.56158,                 1.2467,                0.67696,                 1.2144,              0.0002972,              0.0002972,              0.0002972
                     89,                0.95535,                0.54853,                 1.0146,                0.88051,                0.79518,                0.88953,                0.58193,                  1.241,                0.64664,                 1.2195,              0.0002774,              0.0002774,              0.0002774
                     90,                0.90798,                0.53655,                  1.002,                0.83605,                0.84337,                0.89645,                0.58384,                 1.2374,                0.61558,                 1.2201,              0.0002576,              0.0002576,              0.0002576
                     91,                0.89355,                0.53401,                 1.0025,                0.90298,                0.78499,                0.89105,                0.59366,                 1.2303,                0.61817,                 1.2101,              0.0002378,              0.0002378,              0.0002378
                     92,                0.94227,                0.52685,                 1.0031,                0.91545,                0.78273,                0.88713,                0.56672,                 1.2538,                0.64044,                   1.22,               0.000218,               0.000218,               0.000218
                     93,                0.89847,                0.50191,                0.98972,                0.89262,                0.80126,                0.88748,                0.55749,                 1.2928,                0.67085,                 1.2382,              0.0001982,              0.0001982,              0.0001982
                     94,                0.88389,                 0.4939,                0.99673,                0.93725,                0.75904,                0.88851,                0.57718,                 1.2852,                  0.681,                 1.2355,              0.0001784,              0.0001784,              0.0001784
                     95,                0.86385,                0.46791,                 1.0003,                0.88062,                0.80723,                0.89129,                 0.5824,                 1.2633,                0.69617,                 1.2205,              0.0001586,              0.0001586,              0.0001586
                     96,                0.85246,                0.48643,                 1.0057,                0.92722,                0.76749,                0.88952,                0.58199,                 1.2942,                0.70311,                  1.236,              0.0001388,              0.0001388,              0.0001388
                     97,                0.88046,                0.48146,                 1.0082,                0.95414,                0.75207,                 0.8877,                0.57904,                 1.3149,                0.69608,                 1.2478,               0.000119,               0.000119,               0.000119
                     98,                0.85142,                0.47806,                0.98198,                0.90384,                0.79278,                0.88996,                0.57046,                 1.3132,                  0.692,                 1.2452,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.82758,                0.46824,                0.96802,                 0.8928,                0.80274,                0.89015,                0.58069,                 1.2805,                0.67786,                 1.2332,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.84708,                0.45417,                0.97015,                0.91575,                0.79518,                0.89026,                0.58208,                 1.2648,                0.67387,                 1.2247,               5.96e-05,               5.96e-05,               5.96e-05
